Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,Animal_Type
6,3,0.429648321,0.429005192,0.081057943,0.080474629,2,1,2
6,3,0.429648321,0.631574586,0.081057943,0.041572649,1,2,2
6,3,0.429648321,0.429304909,0.081057943,0.080679385,2,2,2
6,4,0.447025467,0.471676913,0.0668539,0.037792067,1,1,2
6,4,0.447025467,0.446582483,0.0668539,0.067178699,2,1,2
6,4,0.447025467,0.473685976,0.0668539,0.02526777,1,2,2
6,4,0.447025467,0.446987253,0.0668539,0.066887329,2,2,2
6,5,0.436000683,0.463876675,0.065326724,0.049449888,1,1,2
6,5,0.436000683,0.435548534,0.065326724,0.065454793,2,1,2
6,5,0.436000683,0.412962735,0.065326724,0.044004652,1,2,2
6,5,0.436000683,0.436048746,0.065326724,0.065355449,2,2,2
6,6,0.43309216,0.45263811,0.072914071,0.060984426,1,1,2
6,6,0.43309216,0.432718937,0.072914071,0.073072078,2,1,2
6,6,0.43309216,0.437097417,0.072914071,0.032764222,1,2,2
6,6,0.43309216,0.433081168,0.072914071,0.072993574,2,2,2
6,7,0.409835665,0.452092137,0.075769577,0.059597561,1,1,2
6,7,0.409835665,0.409218782,0.075769577,0.075805933,2,1,2
6,7,0.409835665,0.530494555,0.075769577,0.034245379,1,2,2
6,7,0.409835665,0.409628632,0.075769577,0.075656091,2,2,2
6,8,0.441687542,0.468429984,0.066635549,0.064002631,1,1,2
6,8,0.441687542,0.441204738,0.066635549,0.066583495,2,1,2
6,8,0.441687542,0.447407853,0.066635549,0.042784644,1,2,2
6,8,0.441687542,0.44168238,0.066635549,0.066652999,2,2,2
6,9,0.440439698,0.446961376,0.067488302,0.054488357,1,1,2
6,9,0.440439698,0.440338152,0.067488302,0.067666006,2,1,2
6,9,0.440439698,0.540477819,0.067488302,0.023384251,1,2,2
6,9,0.440439698,0.440307302,0.067488302,0.067429318,2,2,2
7,1,0.351978801,0.282948341,0.085807567,0.080070311,1,1,2
7,1,0.351978801,0.360262456,0.085807567,0.082684322,2,1,2
7,1,0.351978801,0.300700156,0.085807567,0.09204285,1,2,2
7,1,0.351978801,0.354881366,0.085807567,0.0845157,2,2,2
7,10,0.338887941,0.30113516,0.080527634,0.09167821,1,1,2
7,10,0.338887941,0.342910779,0.080527634,0.078179489,2,1,2
7,10,0.338887941,0.304718621,0.080527634,0.076710893,1,2,2
7,10,0.338887941,0.340662971,0.080527634,0.0803248,2,2,2
7,11,0.336441452,0.292281803,0.090619298,0.08134594,1,1,2
7,11,0.336441452,0.341862585,0.090619298,0.090215527,2,1,2
7,11,0.336441452,0.308047221,0.090619298,0.090034783,1,2,2
7,11,0.336441452,0.338449824,0.090619298,0.090323122,2,2,2
7,12,0.316095873,0.298677648,0.095350844,0.092535522,1,1,2
7,12,0.316095873,0.319712772,0.095350844,0.095527694,2,1,2
7,12,0.316095873,0.334082858,0.095350844,0.093832721,1,2,2
7,12,0.316095873,0.314306123,0.095350844,0.095315086,2,2,2
7,13,0.271956473,0.256881271,0.074175657,0.068809101,1,1,2
