Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1740,channel15,0.331983228,0.287440197,0.062031132,0.063309334,Event,Coact_STD,,N
pig1740,channel15,0.331983228,0.334046529,0.062031132,0.061190499,Non Event,Coact_STD,,N
pig1740,channel16,0.326285323,0.327547969,0.072559271,0.073839245,Event,Coact_Mean,,N
pig1740,channel16,0.326285323,0.326204384,0.072559271,0.0724757,Non Event,Coact_Mean,,N
pig1740,channel16,0.326285323,0.336404275,0.072559271,0.048728893,Event,Coact_STD,,N
pig1740,channel16,0.326285323,0.325853106,0.072559271,0.073374003,Non Event,Coact_STD,,N
pig1740,channel2,0.281281788,0.30358381,0.047815905,0.071824391,Event,Coact_Mean,,N
pig1740,channel2,0.281281788,0.28067214,0.047815905,0.046838801,Non Event,Coact_Mean,,N
pig1740,channel2,0.281281788,0.274654174,0.047815905,0.068581173,Event,Coact_STD,,N
pig1740,channel2,0.281281788,0.281409242,0.047815905,0.04731827,Non Event,Coact_STD,,N
pig1740,channel3,0.331580641,0.340788838,0.072157535,0.071731056,Event,Coact_Mean,,N
pig1740,channel3,0.331580641,0.331199262,0.072157535,0.072149804,Non Event,Coact_Mean,,N
pig1740,channel3,0.331580641,0.329779484,0.072157535,0.058471778,Event,Coact_STD,,N
pig1740,channel3,0.331580641,0.33163475,0.072157535,0.072528033,Non Event,Coact_STD,,N
pig1740,channel4,0.336117011,0.299564474,0.083150298,0.065855454,Event,Coact_Mean,,N
pig1740,channel4,0.336117011,0.337400494,0.083150298,0.083402029,Non Event,Coact_Mean,,N
pig1740,channel4,0.336117011,0.295593973,0.083150298,0.066527908,Event,Coact_STD,,N
pig1740,channel4,0.336117011,0.337235294,0.083150298,0.083283041,Non Event,Coact_STD,,N
pig1740,channel5,0.304098476,0.293563199,0.056703441,0.046535153,Event,Coact_Mean,,N
pig1740,channel5,0.304098476,0.304403468,0.056703441,0.056941761,Non Event,Coact_Mean,,N
pig1740,channel5,0.304098476,0.280786905,0.056703441,0.046340202,Event,Coact_STD,,N
pig1740,channel5,0.304098476,0.304694238,0.056703441,0.056818378,Non Event,Coact_STD,,N
pig1740,channel6,0.270917334,0.239380775,0.079218531,0.079918884,Event,Coact_Mean,,N
pig1740,channel6,0.270917334,0.271902852,0.079218531,0.078993934,Non Event,Coact_Mean,,N
pig1740,channel6,0.270917334,0.228756817,0.079218531,0.066494157,Event,Coact_STD,,N
pig1740,channel6,0.270917334,0.272065675,0.079218531,0.079223375,Non Event,Coact_STD,,N
pig1740,channel7,0.34308509,0.33942302,0.089148774,0.103184573,Event,Coact_Mean,,N
pig1740,channel7,0.34308509,0.343315645,0.089148774,0.088185312,Non Event,Coact_Mean,,N
pig1740,channel7,0.34308509,0.358177595,0.089148774,0.115029087,Event,Coact_STD,,N
pig1740,channel7,0.34308509,0.342502118,0.089148774,0.087944615,Non Event,Coact_STD,,N
pig1740,channel8,0.282596742,0.272137678,0.076722548,0.107886767,Event,Coact_Mean,,N
pig1740,channel8,0.282596742,0.283223242,0.076722548,0.074396145,Non Event,Coact_Mean,,N
pig1740,channel8,0.282596742,0.256017616,0.076722548,0.068908061,Event,Coact_STD,,N
pig1740,channel8,0.282596742,0.283773195,0.076722548,0.076837933,Non Event,Coact_STD,,N
pig1740,channel9,0.279111055,0.252271979,0.053573291,0.058535532,Event,Coact_Mean,,N
pig1740,channel9,0.279111055,0.279909432,0.053573291,0.053211689,Non Event,Coact_Mean,,N
pig1740,channel9,0.279111055,0.242537384,0.053573291,0.053553877,Event,Coact_STD,,N
pig1740,channel9,0.279111055,0.280080199,0.053573291,0.053233149,Non Event,Coact_STD,,N
pig1742,channel1,0.382224833,0.392738328,0.072519754,0.036770232,Event,Coact_Mean,,N
pig1742,channel1,0.382224833,0.382092046,0.072519754,0.072849489,Non Event,Coact_Mean,,N
pig1742,channel1,0.382224833,0.385669195,0.072519754,0.045908682,Event,Coact_STD,,N
pig1742,channel1,0.382224833,0.382189811,0.072519754,0.072739518,Non Event,Coact_STD,,N
pig1742,channel10,0.353063409,0.334888044,0.072380942,0.054474368,Event,Coact_Mean,,N
pig1742,channel10,0.353063409,0.353279782,0.072380942,0.072540081,Non Event,Coact_Mean,,N
pig1742,channel10,0.353063409,0.340652723,0.072380942,0.050420074,Event,Coact_STD,,N
pig1742,channel10,0.353063409,0.353177075,0.072380942,0.072541551,Non Event,Coact_STD,,N
pig1742,channel11,0.29971972,0.272066128,0.062066933,0.049710816,Event,Coact_Mean,,N
